,2012,2013,2014,2015,2016
US,,823067.0,864712.0,,
China,,,,,
Russia,83762.0,86284.0,82655.0,52456.0,48090.0
Germany,174835.0,185185.0,191451.0,162204.0,166966.0
UK,,153107.0,171242.0,161862.0,145451.0
France,146440.0,154617.0,157213.0,133229.0,133920.0
Italy,84652.0,88728.0,87688.0,74811.0,71203.0
Iran,18975.0,14340.0,12171.0,10794.0,14101.0
Israel,14650.0,17196.0,17839.0,17510.0,18585.0
Saudi Arabia,,,,,
