,2012,2013,2014,2015,2016
US,684780,639704,609914,596104,600106
China,157390,179880,200772,214093,216031
Russia,81469,88352,84696,66418,69245
Germany,46470,45930,46102,39812,41579
UK,58495,56861,59182,53862,48118
France,60035,62417,63613,55342,57358
Italy,29781,29957,27701,22180,25033
Iran,16493,11997,9901,10588,12263
Israel,15567,17319,18485,16969,14783
Saudi Arabia,56497,67020,80762,87185,63672
