,2013,2014,2015,2016
US,,41645.0,,
China,,,,
Russia,2522.0,-3629.0,-30199.0,-4366.0
Germany,10350.0,6266.0,-29247.0,4762.0
UK,,18135.0,-9380.0,-16411.0
France,8177.0,2596.0,-23984.0,691.0
Italy,4076.0,-1040.0,-12877.0,-3608.0
Iran,-4635.0,-2169.0,-1377.0,3307.0
Israel,2546.0,643.0,-329.0,1075.0
Saudi Arabia,,,,
