,2013,2014,2015,2016
US,81834,150581,170672,132716
China,63049,47845,40573,16601
Russia,7472,-9770,-34501,-4491
Germany,27999,16718,-52322,13411
UK,45749,26193,-11361,-23791
France,17810,9065,-50282,4033
Italy,5084,3175,-29212,1455
Iran,-11727,2022,-91,4002
Israel,2420,1444,-180,1182
Saudi Arabia,3759,6199,-296,-2215
