,2012,2013,2014,2015,2016
US,2644030,2725864,2876445,3047117,3179833
China,389453,452502,500347,540920,557521
Russia,109009,116481,106711,72210,67719
Germany,381591,409590,426308,373986,387397
UK,221995,267744,293937,282576,258785
France,303833,321643,330708,280426,284459
Italy,185643,190727,193902,164690,166145
Iran,39742,28015,30037,29946,33948
Israel,18375,20795,22239,22059,23241
Saudi Arabia,29583,33342,39541,39245,37030
