,2012,2013,2014,2015,2016
US,16155255,16691517,17427609,18120714,18624475
China,8560547,9607224,10482372,11064666,11190992
Russia,2210256,2297128,2063662,1368400,1284727
Germany,3543983,3752513,3890606,3375611,3477796
UK,2662085,2739818,3022827,2885570,2650850
France,2683825,2811077,2852165,2438207,2465134
Italy,2072823,2130491,2151732,1832868,1859383
Iran,598853,467414,434474,385874,418976
Israel,257296,292489,308416,299093,317747
Saudi Arabia,735974,746647,756350,654269,644935
